"2","Protecting the privacy and security of your personal information is a priority at Barnes & Noble, and we believe that a single, comprehensive privacy policy that is straightforward and clear is in the best interests of our customers and our businesses.","Generic"
"2","Protecting the privacy and security of your personal information is a priority at Barnes & Noble, and we believe that a single, comprehensive privacy policy that is straightforward and clear is in the best interests of our customers and our businesses.","Generic"
"8","Security: We follow security standards, processes and procedures that are designed to protect your personal information.","Generic"
"8","We follow security standards, processes and procedures that are designed to protect your personal information.","Generic"
"8","Security: We follow security standards, processes and procedures that are designed to protect your personal information.","Generic"
"20","The issuer is contractually obliged to maintain the confidentiality and security of the personal information we provide and is restricted from using such information in any way not expressly authorized by us.","Privacy/Security program"
"20","The issuer is contractually obliged to maintain the confidentiality and security of the personal information we provide and is restricted from using such information in any way not expressly authorized by us.","Secure data storage"
"52","Protecting the privacy and security of your personal information is a priority at Barnes & Noble.","Generic"
"52","Protecting the privacy and security of your personal information is a priority at Barnes & Noble","Generic"
"57","They are contractually obligated to use such information only as necessary to assist us and to maintain the confidentiality and security of such information.","Other"
"58","They are contractually obligated to use such information only as necessary to assist us and to maintain the confidentiality and security of such information.","Other"
"67","In addition, we use industry-standard technology, such as Secure Sockets Layer (SSL) encryption technology in the transmission of certain sensitive personal information, designed to prevent unauthorized persons from gaining access to your personal information, and, as technology develops, we intend to take additional measures to improve security.","Secure data transfer"
"67","We take significant and appropriate security measures, including physical, technological and procedural measures, to help to safeguard your personal information and to prevent unauthorized access and disclosure.","Generic"
"67","We take significant and appropriate security measures, including physical, technological and procedural measures, to help to safeguard your personal information and to prevent unauthorized access and disclosure.","Generic"
"67","Secure Sockets Layer (SSL)","Secure data transfer"
"67","We take significant and appropriate security measures, including physical, technological and procedural measures, to help to safeguard your personal information and to prevent unauthorized access and disclosure.","Generic"
"67","In addition, we use industry-standard technology, such as Secure Sockets Layer (SSL) encryption technology in the transmission of certain sensitive personal information, designed to prevent unauthorized persons from gaining access to your personal information","Secure data transfer"
"68","While we are focused on the security of your personal information and follow strict standards, processes and procedures that are designed to protect your personal information,","Generic"
"68","e want you to feel confident whenever you visit us in our stores, on the Barnes & Noble Websites, or use Barnes & Noble Devices or Apps. While we are focused on the security of your personal information and follow strict standards, processes and procedures that are designed to protect your personal information, you must remember that the Internet is a global communications vehicle open to threats, viruses and intrusions from others and so we cannot promise, and you should not expect, that we will be able to protect your personal information at all times and in all circumstances.","Generic"
"68","We want you to feel confident whenever you visit us in our stores, on the Barnes & Noble Websites, or use Barnes & Noble Devices or Apps. While we are focused on the security of your personal information and follow strict standards, processes and procedures that are designed to protect your personal information, you must remember that the Internet is a global communications vehicle open to threats, viruses and intrusions from others and so we cannot promise, and you should not expect, that we will be able to protect your personal information at all times and in all circumstances.","Generic"
"98","Barnes & Noble has received TRUSTe's Privacy Seal signifying that this privacy statement and our practices have been reviewed for compliance with the TRUSTe program viewable on the validation page available by clicking the TRUSTe seal. The TRUSTe program covers only information that is collected through uk.nook.com, www.nookpress.com, NOOK Apps and your interactions with NOOK Simple Touch, NOOK Simple Touch GlowLight, NOOK GlowLight, NOOK HD and NOOK HD+.","Privacy review/audit"
"98","Barnes & Noble has received TRUSTe's Privacy Seal signifying that this privacy statement and our practices have been reviewed for compliance with the TRUSTe program viewable on the validation page available by clicking the TRUSTe seal.","Privacy/Security program"
