"2","Caribou Coffee Company, Inc. (""Caribou Coffee"") knows that you care how information about you is used and shared, and we appreciate your trust that we will do so carefully.","Generic"
"8","These third parties do not have the right to use the personally identifiable information beyond what is necessary to assist us. They are contractually obligated to maintain the confidentiality and security of such information, and are prohibited from using such information in any way not expressly authorized by Caribou Coffee.","Data access limitation"
"8","These third parties do not have the right to use the personally identifiable information beyond what is necessary to assist us. They are contractually obligated to maintain the confidentiality and security of such information, and are prohibited from using such information in any way not expressly authorized by Caribou Coffee.","Data access limitation"
"9","Some of our employees have access to customer information only in order to serve customers or maintain our information systems. These employees are subject to our corporate privacy policy.","Data access limitation"
"9","These employees are subject to our corporate privacy policy.","Other"
"9","Some of our employees have access to customer information only in order to serve customers or maintain our information systems. These employees are subject to our corporate privacy policy.","Generic"
"9","Some of our employees have access to customer information only in order to serve customers or maintain our information systems.","Data access limitation"
"21","Our Site uses Secure Socket Layer (SSL) encryption to help ensure that your personal information cannot be read as it passes over the Internet, including your credit card number.","Secure data transfer"
"21","We make every effort to ensure that your personal information is protected on our system. Our Site uses Secure Socket Layer (SSL) encryption to help ensure that your personal information cannot be read as it passes over the Internet, including your credit card number.","Secure data transfer"
"21","Our Site uses Secure Socket Layer (SSL) encryption","Secure data transfer"
"21","We make every effort to ensure that your personal information is protected on our system","Generic"
"22","We also require our credit card transaction processor to use adequate security and encryption technology to ensure the safety and security of your personally identifiable information.","Generic"
"22","We also require our credit card transaction processor to use adequate security and encryption technology to ensure the safety and security of your personally identifiable information.","Other"
"32","Caribou keeps your cell phone number private at all times.","Generic"
"32","Caribou keeps your cell phone number private at all times.","Unspecified"
