"3","You can choose not to provide certain information, but this will limit your ability to purchase products offered on the Websites, or to take advantage of some features or promotions","Basic service/feature"
"3","You can choose not to provide certain information, but this will limit your ability to purchase products offered on the Websites, or to take advantage of some features or promotions","Basic service/feature"
"3","your ability to purchase products offered on the Websites","Basic service/feature"
"3","to take advantage of some features or promotions.","Additional service/feature"
"4","communicate related information, such as order and shipment confirmation, release date changes and requests for more information to facilitate processing your order.","Basic service/feature"
"4","communicate related information, such as order and shipment confirmation, release date changes and requests for more information to facilitate processing your order.","Basic service/feature"
"4","communicate related information, such as order and shipment confirmation, release date changes and requests for more information to facilitate processing your order.","Basic service/feature"
"4","is used to communicate related information, such as order and shipment confirmation, release date changes and requests for more information to facilitate processing your order.","Additional service/feature"
"4","to facilitate processing your order.","Basic service/feature"
"5","customize future shopping for you","Personalization/Customization"
"5","improve our Websites and stores","Analytics/Research"
"5","send you information about our company, and to inform you of sales and special offers","Marketing"
"5","non-order related email","Unspecified"
"5","to customize future shopping for you, to improve our Websites and stores, to send you information about our company, and to inform you of sales and special offers.","Marketing"
"5","to customize future shopping for you","Personalization/Customization"
"5","to improve our Websites and stores,","Service Operation and Security"
"5","to send you information about our company, and to inform you of sales and special offers","Marketing"
"6","you provide information when you search for a product; place an order through a Website or provide information to update or create your account with us (you may have more than one account if you have used more than one email address when shopping with us); communicate with us by phone, email, or otherwise;","Basic service/feature"
"6","you provide information when you search for a product; place an order through a Website or provide information to update or create your account with us (you may have more than one account if you have used more than one email address when shopping with us); communicate with us by phone, email, or otherwise;","Basic service/feature"
"6","you provide information when you search for a product; place an order through a Website or provide information to update or create your account with us (you may have more than one account if you have used more than one email address when shopping with us); communicate with us by phone, email, or otherwise;","Basic service/feature"
"6","you provide information when you search for a product; place an order through a Website or provide information to update or create your account with us (you may have more than one account if you have used more than one email address when shopping with us); communicate with us by phone, email, or otherwise;","Basic service/feature"
"6","complete a questionnaire or a contest entry form; create any wish or gift list; participate in any forums or discussion areas or product reviews; or create any alerts or other email notification services we may offer now or in the future.","Additional service/feature"
"6","complete a questionnaire or a contest entry form; create any wish or gift list; participate in any forums or discussion areas or product reviews; or create any alerts or other email notification services we may offer now or in the future.","Additional service/feature"
"6","complete a questionnaire or a contest entry form; create any wish or gift list; participate in any forums or discussion areas or product reviews; or create any alerts or other email notification services we may offer now or in the future.","Additional service/feature"
"6","complete a questionnaire or a contest entry form; create any wish or gift list; participate in any forums or discussion areas or product reviews; or create any alerts or other email notification services we may offer now or in the future.","Additional service/feature"
"6","when you search, buy, participate in a contest or questionnaire, communicate with customer service, or otherwise contact us or post information on our Websites.","Basic service/feature"
"6","when you search, buy, participate in a contest or questionnaire, communicate with customer service, or otherwise contact us or post information on our Websites.","Basic service/feature"
"6","when you search, buy, participate in a contest or questionnaire, communicate with customer service, or otherwise contact us or post information on our Websites.","Basic service/feature"
"7","send users information about our company","Marketing"
"7","contact visitors to learn more about specific problems they might have reported","Basic service/feature"
"7","give them rewards, if such a reward program is part of the survey.","Additional service/feature"
"7","learn more about the types of people who visit our site","Analytics/Research"
"7","We use contact data from our surveys to send users information about our company.","Marketing"
"7","The demographic information is used to learn more about the types of people who visit our site.","Analytics/Research"
"7","to send users information about our company.","Marketing"
"7","to send users information about our company.","Marketing"
"7","to send users information about our company.","Marketing"
"8","We use this information to contact the winners.","Additional service/feature"
"8","offer you products or services that we believe may be of interest to you.","Marketing"
"8","We use this information to contact the winners. We may also use or share contest information with our business and marketing partners to offer you products or services that we believe may be of interest to you.","Marketing"
"8","to offer you products or services that we believe may be of interest to you.","Advertising"
"8","We use this information to contact the winners.","Additional service/feature"
"8","to offer you products or services that we believe may be of interest to you.","Marketing"
"8","to offer you products or services that we believe may be of interest to you.","Marketing"
"9","post reviews and allow visitors to communicate information on products","Additional service/feature"
"9","post reviews and allow visitors to communicate information on products. When posting a review, you can optionally display your name, an alias, or remain anonymous.","Additional service/feature"
"10","personalized emails","Marketing"
"10","If you purchase any products online, or have any other interaction with our Websites, we will receive and store information that you provide or that is generated by your actions.","Unspecified"
"10","his allows you to leave our site, come back later, and still have the contents of your shopping cart intact.","Basic service/feature"
"10","his allows you to leave our site, come back later, and still have the contents of your shopping cart intact.","Basic service/feature"
"10","personalize your experience at our Websites, tailoring the content to your interests","Personalization/Customization"
"10","personalize your experience at our Websites, tailoring the content to your interests.","Personalization/Customization"
"10","advertisers","Advertising"
"10","We may also send you personalized emails. These communications may contain links to our Websites that could include unique identifiers capable of correlating any resulting web activity to the originating email communication.","Advertising"
"10","ookies are placed on your computer (explained in more detail below) to remember your name and the contents of your shopping cart. This allows you to leave our site, come back later, and still have the contents of your shopping cart intact. It also lets us personalize your experience at our Websites, tailoring the content to your interests. A number of companies offer utilities designed to help you visit websites anonymously, but if you use these utilities, it may limit your ability to use personalized features that we offer.","Personalization/Customization"
"10","Advertising","Advertising"
"10","purchase any products online","Basic service/feature"
"10","purchase any products online","Basic service/feature"
"10","It also lets us personalize your experience at our Websites, tailoring the content to your interests.","Personalization/Customization"
"10","This allows you to leave our site, come back later, and still have the contents of your shopping cart intact.","Basic service/feature"
"11","to help keep track of your future visits","Personalization/Customization"
"12","contact us directly with any questions","Basic service/feature"
"12","contact us directly with any questions","Basic service/feature"
"12","avoid sending unnecessary or duplicate messages to you.","Basic service/feature"
"12","in an effort to avoid sending unnecessary or duplicate messages to you.","Service Operation and Security"
"13","include that information in the account information that we store about you.","Basic service/feature"
"13","correct our records","Basic service/feature"
"13","use to help prevent and detect fraud.","Service Operation and Security"
"13","which we use to help prevent and detect fraud.","Service Operation and Security"
"13","which we use to correct our records","Service Operation and Security"
"13","which we use to help prevent and detect fraud.","Service Operation and Security"
"14","to recognize your browser when you make future visits to our Websites, and to store certain information (such as items placed in your shopping cart) between visits.","Personalization/Customization"
"14","to recognize your browser when you make future visits to our Websites, and to store certain information (such as items placed in your shopping cart) between visits.","Basic service/feature"
"15","personalized features","Personalization/Customization"
"15","allow you to have the benefit of our personalized features, we recommend that you leave them turned on. You MUST have cookies enabled in order to checkout on our Websites.","Personalization/Customization"
"15","to have the benefit of our personalized features,","Personalization/Customization"
"16","We use these technologies to personalize and enhance your online experience, facilitate processes, personalize and store your settings. Flash cookies may help our Website visitors to, for example, set volume preference associated with a video experience, play games and perform surveys. They help us improve our sites by measuring which areas are of greatest interest to customers.","Personalization/Customization"
"16","We use these technologies to personalize and enhance your online experience, facilitate processes, personalize and store your settings.","Personalization/Customization"
"16","We use these technologies to personalize and enhance your online experience, facilitate processes, personalize and store your settings.","Personalization/Customization"
"16","set volume preference associated with a video experience, play games","Basic service/feature"
"16","perform surveys. They help us improve our sites by measuring which areas are of greatest interest to customers.","Analytics/Research"
"17","register for tournaments","Additional service/feature"
"17","register for tournaments","Additional service/feature"
"17","and they may use it for internal tracking and analytics.","Analytics/Research"
"17","they may use it for internal tracking and analytics.","Analytics/Research"
"18","promotion of our products and services and those of our affiliates.","Marketing"
"18","in connection with the promotion of our products and services and those of our affiliates.","Marketing"
"18","we may use the information that you provide us, or that we collect about you, in connection with the promotion of our products and services and those of our affiliates.","Advertising"
"18","we may use the information that you provide us, or that we collect about you, in connection with the promotion of our products and services and those of our affiliates.","Advertising"
"19","order fulfillment, package delivery, postal mail and email communications, customer lists management, data analysis, marketing services and assistance which may include content and ads presented on other websites or mobile applications, credit card processing, and customer relationship management","Basic service/feature"
"19","Examples include order fulfillment, package delivery, postal mail and email communications, customer lists management, data analysis, marketing services and assistance which may include content and ads presented on other websites or mobile applications, credit card processing, and customer relationship management.","Service operation and security"
"19","needed to perform their functions","Basic service/feature"
"19","order fulfillment, package delivery, postal mail and email communications, customer lists management,","Basic service/feature"
"20","send you offers on behalf of our company or other businesses, or permit other businesses that we are working with to call you with or send you offers,","Marketing"
"20","send you offers on behalf of our company or other businesses, or permit other businesses that we are working with to call you with or send you offers,","Marketing"
"20","Promotional Offers","Marketing"
"20","interested in receiving these offers","Advertising"
"20","interested in receiving these offers","Advertising"
"21","merge or combine with another company, or our company itself, or all or a significant part of its assets, may be acquired by another company.","Merger/Acquisition"
